Frequency (Hz),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
394.9198125000002,-32.43032264543881,-6.963432136432406
397.3565342705916,-32.08154514554778,-6.195745773377553
399.8082910249931,-31.98116617165821,-6.843123657974246
402.2751755315877,-31.8418322945153,-6.136202045067463
404.7572811311549,-31.74624749659152,-6.396274974337885
407.2547017404024,-31.55090302260009,-6.481784080382049
409.7675318555198,-31.75351842065736,-7.305301162945725
412.2958665557541,-31.80903743174637,-6.799123458810982
414.8398015070076,-31.70986195401658,-8.842009574073614
417.3994329654569,-31.73168439015409,-7.240353535558697
419.9748577811957,-31.7267054322215,-6.904801667877706
422.5661734018989,-31.59054086273666,-7.710332429377331
425.1734778765102,-31.82428502844651,-6.538448521224183
427.7968698589515,-31.59137859140655,-7.419608002391129
430.4364486118563,-31.56432480711767,-6.975969145926761
433.092314010325,-31.46908605715765,-6.979156464152794
435.7645665457046,-31.69933011240216,-8.273830937539806
438.4533073293901,-31.51489178838269,-7.491738334933203
441.1586380966514,-31.59930181034759,-8.714202201216811
443.8806612104816,-31.51673049164599,-7.576477127068983
446.6194796654713,-31.55107452376367,-7.507797404424565
449.3751970917046,-31.71427369236627,-8.768396289401913
452.1479177586808,-31.43939520424618,-8.294823424960629
454.9377465792597,-31.55461699739748,-6.882126236400609
457.744789113631,-31.36815653181248,-7.147172150587835
460.5691515733087,-31.46701072858501,-7.533149414837581
463.4109408251494,-31.4807829172913,-7.009479937949806
466.2702643953965,-31.32543139176109,-7.799184639408281
469.1472304737486,-31.47051938282365,-8.112356023309744
472.0419479174524,-31.49854910574607,-6.672619194267966
474.9545262554227,-31.31635768990577,-8.429680078753858
477.8850756923859,-31.11333004489682,-5.977315465673868
480.8337071130501,-31.22001728390834,-8.972883399352241
483.8005320863008,-30.6241243804492,-8.222243466835948
486.7856628694225,-31.14595682538157,-6.688736048782673
489.7892124123455,-30.87431566622832,-6.372313498878967
492.8112943619209,-31.11219812191493,-9.27177055707179
495.8520230662194,-30.66113552993388,-7.844981915284883
498.9115135788593,-30.93944224309367,-5.260494846545562
501.9898816633582,-30.4767633637836,-9.083794240870429
505.0872437975146,-30.83651262639974,-9.761300536156989
508.2037171778148,-30.84495978220458,-8.873153255359
511.3394197238667,-30.5663036311157,-10.47222531652771
514.4944700828624,-30.23022379266688,-9.545977069838614
517.6689876340673,-30.36709193923614,-10.16314167614971
520.8630924933365,-30.58529937122788,-9.240295642222563
524.0769055176604,-30.58955840213441,-8.165803468571028
527.3105483097373,-30.84724083976608,-8.708188545259645
530.5641432225749,-30.2164532407819,-8.842858711379279
533.8378133641194,-30.47433561027412,-9.819665529444592
537.1316826019136,-30.01219100090196,-8.330657990814302
540.4458755677842,-30.40623411141971,-8.734755426024506
543.780517662557,-30.44079096020443,-8.822604882375458
547.1357350608024,-30.29531457163846,-10.18272965999384
550.5116547156086,-30.22614502194987,-9.718345613655202
553.9084043633862,-30.55705457477775,-11.60485558761616
557.3261125287008,-30.08431444905886,-11.49043708488038
560.7649085291362,-30.24786863609006,-10.69292932896922
564.2249224801877,-30.19489269979059,-8.190977331023021
567.7062853001847,-30.27353109559554,-10.5615238968799
571.2091287152449,-29.93403311267473,-10.75302239668736
574.7335852642589,-29.92213872461319,-9.34047303957216
578.2797883039035,-29.95209268932582,-7.990022100851235
581.8478720136898,-29.80766269085496,-8.484705968284359
585.4379714010382,-29.62997383221566,-10.25817771885048
589.050222306388,-29.65093774565153,-9.121972724511316
592.6847614083371,-29.69498323440515,-9.562829770150927
596.3417262288129,-29.31010579675132,-10.22307187066548
600.0212551382767,-29.28895400524583,-11.04619180682489
603.7234873609585,-29.45353727700167,-10.82475474207197
607.4485629801256,-29.16829938996124,-10.40910439120024
611.1966229433823,-29.11949691391828,-10.76596909514949
614.9678090680035,-29.05606584002216,-10.20641345952714
618.762264046301,-29.13688847464326,-11.44049065269164
622.5801314510212,-28.64430933077769,-12.0510994083937
626.4215557407795,-28.61355851755176,-10.18709560442262
630.2866822655251,-28.68736429038089,-11.2812407542533
634.1756572720401,-28.74463974854825,-12.84968928149059
638.0886279094751,-28.58008042144914,-10.89564213671494
642.025742234915,-28.65988672744265,-11.39748906900089
645.9871492189817,-28.4374159154228,-9.992085580452297
649.9729987514717,-28.06551179429195,-11.08742989410987
653.9834416470261,-28.35826440200821,-11.73122113012447
658.0186296508375,-28.31575314645351,-11.32887062212041
662.0787154443933,-28.16156284703769,-11.78202020896396
666.1638526512495,-27.74289749748941,-11.99874317269408
670.2741958428469,-27.78378581774576,-12.24145432443155
674.4099005443572,-27.82371483746275,-11.41797974426976
678.5711232405694,-27.75642529474578,-11.74493746773209
682.7580213818088,-27.50210205487413,-11.19608878059207
686.9707533898969,-27.47003297767006,-13.24786391430769
691.2094786641442,-27.52664869368772,-11.07826037361664
695.4743575873812,-27.25106247245694,-12.08145706820152
699.7655515320283,-27.260381756697,-13.57756315425614
704.0832228662007,-27.01776689725695,-12.01993517093098
708.4275349598516,-27.19847696675501,-11.58996026277572
712.7986521909556,-26.73080183096653,-13.55657098598687
717.1967399517254,-26.74189654243393,-12.400175865816
721.6219646548733,-26.43852682848756,-12.50655394740751
726.0744937399049,-26.36436632565809,-12.74370451555055
730.5544956794555,-26.24011632734614,-11.60222789888536
735.0621399856666,-26.0665927650076,-13.56541869388799
739.5975972165963,-25.87998307663534,-13.86558370290414
744.1610389826754,-25.86269584966027,-12.93410023445529
748.7526379532007,-25.78847712071261,-13.67891475130506
753.372567862866,-25.61709730788846,-13.0813348676121
